"Age","DistanceFromHome","DepartmentType","JobRole","JobLevel","JobInvolvement","JobSatisfaction","BusinessTravel","JobStockOptionLevel","WorkEnvironmentSatisfaction","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Attrition"
"41","1","Sales","Sales Executive","2","3","4","Travel_Rarely","0","2","1","6","4","5","Yes"
"49","8","Research & Development","Research Scientist","2","2","2","Travel_Frequently","1","3","3","10","7","7","No"
"37","2","Research & Development","Laboratory Technician","1","2","3","Travel_Rarely","0","4","3","0","0","0","Yes"
"33","3","Research & Development","Research Scientist","1","3","3","Travel_Frequently","0","4","3","8","7","0","No"
"27","2","Research & Development","Laboratory Technician","1","3","2","Travel_Rarely","1","1","3","2","2","2","No"
"32","7","Research & Development","Laboratory Technician","1","3","4","Travel_Frequently","0","4","2","7","7","6","No"
"59","3","Research & Development","Laboratory Technician","1","4","1","Travel_Rarely","3","3","2","1","0","0","No"
"30","7","Research & Development","Laboratory Technician","1","3","3","Travel_Rarely","1","4","3","1","0","0","No"
"38","23","Research & Development","Manufacturing Director","3","2","3","Travel_Frequently","0","4","3","9","7","8","No"
"36","27","Research & Development","Healthcare Representative","2","3","3","Travel_Rarely","2","3","2","7","7","7","No"
"35","16","Research & Development","Laboratory Technician","1","4","2","Travel_Rarely","1","1","3","5","4","3","No"
"29","7","Research & Development","Laboratory Technician","2","2","3","Travel_Rarely","0","4","3","9","5","8","No"
"31","26","Research & Development","Research Scientist","1","3","3","Travel_Rarely","1","1","2","5","2","3","No"
"34","19","Research & Development","Laboratory Technician","1","3","3","Travel_Rarely","1","2","3","2","2","2","No"
"28","24","Research & Development","Laboratory Technician","1","2","3","Travel_Rarely","0","3","3","4","2","3","Yes"
"29","21","Research & Development","Manufacturing Director","3","4","1","Travel_Rarely","1","2","3","10","9","8","No"
"32","5","Research & Development","Research Scientist","1","4","2","Travel_Rarely","2","1","2","6","2","5","No"
"22","16","Research & Development","Laboratory Technician","1","4","4","Non-Travel","2","4","2","1","0","0","No"
"53","2","Sales","Manager","4","2","4","Travel_Rarely","0","1","3","25","8","7","No"
"38","2","Research & Development","Research Scientist","1","3","4","Travel_Rarely","0","4","3","3","2","2","No"
"24","11","Research & Development","Manufacturing Director","2","4","3","Non-Travel","1","1","2","4","2","3","No"
"36","9","Sales","Sales Representative","1","2","1","Travel_Rarely","0","3","3","5","3","3","Yes"
"34","7","Research & Development","Research Director","3","3","2","Travel_Rarely","0","1","3","12","6","11","No"
"21","15","Research & Development","Research Scientist","1","3","4","Travel_Rarely","0","3","3","0","0","0","No"
"34","6","Research & Development","Research Scientist","1","3","1","Travel_Rarely","0","2","3","4","2","3","Yes"
"53","5","Research & Development","Manager","5","3","3","Travel_Rarely","1","3","2","14","13","8","No"
"32","16","Research & Development","Research Scientist","1","1","1","Travel_Frequently","0","2","3","10","2","7","Yes"
"42","8","Sales","Sales Executive","2","3","2","Travel_Rarely","1","3","3","9","7","2","No"
"44","7","Research & Development","Healthcare Representative","3","2","4","Travel_Rarely","1","1","3","22","6","17","No"
"46","7","Sales","Manager","5","3","3","Travel_Rarely","0","2","2","2","2","1","No"
"33","2","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","0","3","3","1","1","0","No"
"44","10","Research & Development","Healthcare Representative","2","3","4","Travel_Rarely","0","4","4","4","2","3","No"
"30","9","Research & Development","Laboratory Technician","1","2","3","Travel_Rarely","0","4","3","10","0","8","No"
"39","5","Sales","Sales Representative","2","3","4","Travel_Rarely","1","4","4","1","0","0","Yes"
"24","1","Research & Development","Research Scientist","1","3","4","Travel_Rarely","1","2","2","2","0","0","Yes"
"43","2","Research & Development","Research Scientist","1","4","3","Travel_Rarely","2","4","2","5","3","4","No"
